
UC;OLD_NIO;NEW_NIO;DATA
96159588;44000142;44000142;6/21/2024
95937030;44000145;44000145;6/21/2024
91069343;44000696;44000696;6/26/2024
90541545;44000322;44000322;6/26/2024
39925862;44252601;44252601;6/26/2024
72055286;44000698;44000698;6/26/2024
72810815;44000692;44000692;6/26/2024
91113300;44000324;44000324;6/26/2024
107981696;44251999;44251999;6/26/2024
73465224;44251973;44251973;6/26/2024
75090139;44251969;44251969;6/26/2024
46017097;44250458;44250458;6/25/2024
46016961;44250451;44250451;6/25/2024
88876110;44252599;44252599;6/28/2024
84816589;44251921;44251921;6/26/2024
101983514;44250442;44250442;6/26/2024
101980590;44251920;44251920;6/26/2024
101981139;44251918;44251918;6/26/2024
101810385;44251922;44251922;6/26/2024
102161003;44250026;44250026;6/26/2024
101855702;44251923;44251923;6/26/2024
102144591;44250021;44250021;6/26/2024
101638710;44250029;44250029;6/26/2024
23867795;44252652;44252652;6/24/2024
88108368;44000880;44000880;6/24/2024
101569815;44251951;44251951;6/21/2024
100633943;44251955;44251955;6/21/2024
100602932;44251950;44251950;6/21/2024
101461909;44251954;44251954;6/21/2024
101835710;44251956;44251956;6/21/2024
61310450;44000189;44000189;6/21/2024
42313201;44000181;44000181;6/21/2024
61678546;44251668;44251668;6/21/2024
59040840;44251712;44251712;6/21/2024
68274688;44000182;44000182;6/21/2024
42137616;44251707;44251707;6/21/2024
42226465;44251713;44251713;6/21/2024
91170850;44251687;44251687;6/21/2024
99371154;44250052;44250052;6/21/2024
99187922;44250059;44250059;6/21/2024
91996074;44250446;44250446;6/20/2024
90412460;44250057;44250057;6/21/2024
99238756;44250051;44250051;6/21/2024
99242044;44251692;44251692;6/21/2024
99241803;44250056;44250056;6/21/2024
92854052;44250060;44250060;6/21/2024
78292611;44251731;44251731;6/21/2024
78292832;44251732;44251732;6/21/2024
79971695;44251735;44251735;6/21/2024
100681018;44000790;44000790;6/20/2024
43810063;44250444;44250444;6/21/2024
100649998;44000782;44000782;6/20/2024
91996023;44250443;44250443;6/20/2024
101181949;44000785;44000785;6/20/2024
