
UC;NEW_NIO;OLD_NIO;DATA
95205969;45000210;850907279;10/23/2024
90515757;45459154;430377274;10/23/2024
94734607;44257827;292431093;10/18/2024
113523076;44011633;44011633;9/17/2024
87297701;44019833;801714039;10/23/2024
84196130;45001786;933906977;10/25/2024
113566638;44255094;44255094;9/26/2024
113529694;44704392;44704392;9/13/2024
27547949;44021961;933005929;10/28/2024
30600774;44014048;700205215;10/28/2024
107740877;45456908;393334652;10/18/2024
8439206;45000449;734602915;10/28/2024
63193981;44015939;862905634;10/23/2024
90303881;44286244;953432951;10/28/2024
84228393;44005124;44005124;9/6/2024
104183160;45456752;360540360;10/28/2024
38684705;44015283;850912051;10/28/2024
85187720;44014099;780903938;10/28/2024
88767701;45461679;284334574;10/28/2024
19662831;44014478;221301797;10/23/2024
95058095;45257971;333930262;10/18/2024
102990360;45460902;372932252;10/18/2024
112748147;45461587;430378603;10/28/2024
104186909;45456753;361031123;10/28/2024
8103178;45291247;310530656;10/23/2024
8103127;45291246;310530660;10/23/2024
73927600;44023539;273200274;10/23/2024
8217394;45000287;293201965;10/28/2024
104222506;45456754;351340393;10/28/2024
67461646;44012454;332103591;10/28/2024
78737133;44015935;370227644;10/23/2024
111274303;45459047;421976607;10/18/2024
85212296;44706715;421480211;10/18/2024
95123660;45257820;333930265;10/18/2024
66148685;44014049;901602002;10/28/2024
90937244;45461883;400630064;10/20/2024
86960075;45700421;244840766;10/28/2024
8104557;44015752;284206872;10/23/2024
113545851;44253601;44253601;9/20/2024
78162700;44015708;274710997;10/25/2024
76719715;45461475;291931048;10/28/2024
8332487;45764587;284141357;10/23/2024
101562659;44711230;342641416;10/18/2024
101562691;44711231;342641490;10/18/2024
103719970;45459045;370731549;10/18/2024
100640095;45457797;353630527;10/23/2024
55456219;45461976;400288264;10/20/2024
38663970;44716585;400144110;10/20/2024
27062627;45000672;763400814;10/28/2024
101104049;45457802;360131810;10/23/2024
113477520;44700364;44700364;9/2/2024
89114329;44019827;301107320;10/23/2024
101583265;45459049;361832785;10/18/2024
113573863;44253654;44253654;9/27/2024
74098381;45290707;274731378;10/28/2024
113494270;44255222;44255222;9/10/2024
39428702;44021964;914811294;10/28/2024
113476000;44700007;44700007;8/30/2024
87453100;45763816;282840792;10/23/2024
91957273;45460896;361831897;10/18/2024
113442513;44252748;44252748;8/29/2024
113527560;44252725;44252725;9/17/2024
113513062;44704390;44704390;9/10/2024
78494168;44014948;284203619;10/28/2024
113534779;44700003;44700003;9/18/2024
54539447;44016773;831115243;10/25/2024
8102970;45764994;843440764;10/25/2024
8102988;45700348;831441666;10/25/2024
91406390;44012373;280312037;10/28/2024
101776152;45459048;361830011;10/18/2024
51420368;44015936;872016843;10/23/2024
100580432;45461664;353131851;10/23/2024
67525520;44015706;270121358;10/25/2024
92736459;44021386;312114276;10/23/2024
104835915;45456746;392131445;10/28/2024
107049929;45457705;393032296;10/28/2024
113556098;44253295;44253295;9/24/2024
104549254;45291119;381230464;10/25/2024
85735116;45460883;352432957;10/18/2024
47124636;44013526;221301755;10/25/2024
107548259;45459052;393333503;10/18/2024
113516819;44252689;44252689;9/16/2024
88797252;44021378;322500931;10/23/2024
91957389;45460875;361831898;10/18/2024
105660590;45291243;390731881;10/23/2024
81017839;44014732;763003293;10/25/2024
22876472;44014725;914807012;10/25/2024
31297200;44570611;981345055;10/20/2024
96640650;44260548;372433288;10/23/2024
107743035;45700893;400544254;10/28/2024
8387524;44571727;330869984;10/28/2024
104204915;45700889;312640754;10/28/2024
108797856;45458552;411380089;10/23/2024
113405375;44255099;44255099;9/2/2024
8343322;44015275;781803552;10/28/2024
73521574;45000446;293200139;10/28/2024
58563830;44012446;861301676;10/28/2024
70434018;45457555;894231078;10/18/2024
113494300;44253294;44253294;9/10/2024
113531184;44253560;44253560;9/18/2024
103980512;45700271;372042532;10/25/2024
83136932;44289776;292630461;9/24/2024
78796296;45000578;232701697;10/28/2024
8129576;45291266;413378008;10/28/2024
34212000;44014304;760201343;10/28/2024
90090144;44019830;963603257;10/23/2024
90973534;44015654;950802406;10/25/2024
113498276;44255116;44255116;9/6/2024
8439850;44700093;44700093;9/19/2024
113442416;44252833;44252833;9/3/2024
76282473;45457559;280931991;10/18/2024
93964340;44021380;312107735;10/23/2024
66483140;45460895;361730117;10/18/2024
113434634;44252844;44252844;8/28/2024
52066703;44253561;44253561;9/12/2024
87657147;45000236;850913177;10/28/2024
113407769;44255221;44255221;9/4/2024
107811502;45459415;393333373;10/18/2024
101508948;44253589;44253589;9/26/2024
113532822;44253579;44253579;9/18/2024
43296408;45257240;411380419;10/23/2024
57904260;44019269;244406730;10/28/2024
21470081;44253499;411273291;10/21/2024
84616156;44710126;333840908;10/28/2024
79614680;44014399;431073615;10/23/2024
91198232;45700430;212040079;10/23/2024
90922395;44287093;291730583;10/28/2024
88380548;44014271;752501552;10/28/2024
113337710;44700369;44700369;9/23/2024
113418493;44700079;44700079;8/23/2024
8303916;45000228;792605492;10/23/2024
71001115;45457457;763030224;10/18/2024
33118914;45458602;980331825;10/18/2024
92954685;45456537;324331882;10/18/2024
23233990;44014658;431474515;10/25/2024
51528436;44016953;233005767;10/28/2024
76859177;44016952;331305618;10/28/2024
113432429;44700019;44700019;8/27/2024
31406459;44021550;800513021;10/25/2024
86813722;44014401;943207426;10/23/2024
61440051;44022150;284404234;10/28/2024
40596400;44013435;774103736;10/23/2024
103045503;45461485;372931345;10/23/2024
54705827;44014550;242200294;10/25/2024
113481683;44700001;44700001;9/3/2024
38173972;45461878;982030065;10/20/2024
113092660;44700065;44700065;9/16/2024
58501908;44019331;922804692;10/28/2024
94215405;44716922;301140832;10/23/2024
67189776;44014644;360401119;10/24/2024
25371584;45459217;920831312;10/25/2024
103258183;44013975;370228303;10/23/2024
30839440;44018065;251813692;10/23/2024
103258140;44019762;430473636;10/23/2024
73916900;44017596;321301546;10/23/2024
89394062;44016790;260708610;10/25/2024
113467184;44700094;44700094;9/4/2024
92810799;45461336;324030315;10/18/2024
45374759;44287089;341830422;10/28/2024
8294658;44019763;291611159;10/23/2024
113484739;44255165;44255165;9/9/2024
113465424;44255078;44255078;8/31/2024
113530951;44278793;44278793;9/18/2024
109142438;45764999;402673329;10/23/2024
89676297;44018799;370205092;10/23/2024
110411145;44717921;413180239;10/23/2024
109557077;45700344;411979164;10/23/2024
113531150;44255140;44255140;9/18/2024
81755317;44014001;810113789;10/23/2024
78261767;44294499;260231594;10/23/2024
90068785;45001729;321301608;10/25/2024
19475829;44294898;894231235;10/23/2024
22483322;44022151;753601272;10/28/2024
8351562;44275141;312131220;10/28/2024
87472970;45700405;202041100;10/23/2024
64960161;45764804;990741046;10/23/2024
8413100;44022152;821013220;10/28/2024
113457960;44255219;44255219;9/3/2024
107954796;45459416;390530922;10/18/2024
107151740;45456599;430378633;10/18/2024
50178474;44023524;400412474;10/23/2024
112870139;44700013;44700013;8/30/2024
84159081;45459218;920432108;10/25/2024
46632999;45700406;940643008;10/23/2024
92972187;45461344;324331883;10/18/2024
93478810;45461338;340634646;10/18/2024
75834596;44015954;342400745;10/23/2024
87302837;44714737;341640232;10/20/2024
62232657;45764833;952343541;10/23/2024
8416761;44015788;734802169;10/25/2024
26094711;44020535;930402632;10/23/2024
91444640;44018760;291613223;10/22/2024
53216024;44253542;950402913;10/23/2024
113580681;44255093;44255093;9/26/2024
8349592;45001334;801313938;10/25/2024
8217467;45763882;231441143;10/28/2024
91619394;45001767;933905271;10/25/2024
111067618;45461161;421977454;10/18/2024
113559356;44253476;44253476;9/25/2024
51178486;44286273;212130524;10/23/2024
93043988;45461335;324331529;10/18/2024
93862733;44023617;312107609;10/23/2024
95091653;45001721;821012770;10/25/2024
60182571;44014403;944016527;10/23/2024
82472459;44021439;271514367;10/23/2024
39988066;45764807;811645571;10/23/2024
110287665;45257246;421777644;10/23/2024
113462387;44253296;44253296;9/3/2024
99817250;44013981;294405210;10/23/2024
89168330;44717927;333140552;10/23/2024
40220060;45764803;990340637;10/23/2024
89924860;44706375;802940149;10/23/2024
93887620;45460394;343233173;10/18/2024
85662194;44016786;940802314;10/25/2024
29429706;44014656;941200214;10/25/2024
81578237;44016817;273115060;10/25/2024
93818432;45251865;331131606;10/18/2024
113534027;44255139;44255139;9/18/2024
44722028;45764806;210641123;10/23/2024
113473346;44255124;44255124;9/5/2024
94328145;45460459;321530834;10/18/2024
113499752;44252791;44252791;9/11/2024
79606091;45459347;291131202;10/28/2024
92899978;45460112;324030923;10/18/2024
8379602;44014244;812104468;10/28/2024
41114957;45462054;993632653;10/20/2024
26962306;44716291;331243115;10/25/2024
113442505;44252714;44252714;8/29/2024
92685609;45460105;324031701;10/18/2024
85070203;45457940;414477440;10/18/2024
68437889;44716135;264740337;10/28/2024
82107769;45764832;944041053;10/23/2024
83765727;44017777;894004048;10/23/2024
8243077;44704395;44704395;9/24/2024
71758402;44714768;273141448;10/20/2024
113429045;44700336;44700336;8/27/2024
106179357;44570536;421281179;10/23/2024
86828088;45457455;940530897;10/18/2024
66695880;44015948;821812029;10/23/2024
53979320;44015156;360201974;10/28/2024
26890232;44716046;854440409;10/28/2024
96439319;44294503;331932609;10/23/2024
38921987;44017677;982601008;10/23/2024
46583211;45764905;380252103;10/23/2024
44724110;44015787;210807380;10/25/2024
42828643;45461959;200930950;10/20/2024
101496893;45700346;422480611;10/23/2024
99775018;44014022;351702058;10/23/2024
96901462;44014019;331307529;10/23/2024
8303843;45457459;981930622;10/18/2024
57968802;44014516;234303271;10/23/2024
113499469;44700425;44700425;9/11/2024
95212310;45457087;333930149;10/18/2024
101734336;45764995;390140816;10/23/2024
107412640;44017729;344406469;10/23/2024
41571703;44023177;763403076;10/23/2024
113487720;44253645;44253645;9/9/2024
62191632;44294498;351831975;10/23/2024
89408896;45457464;241733135;10/18/2024
72768584;45001728;274712312;10/25/2024
93984243;45764823;323341701;10/28/2024
82322520;44016945;273107895;10/28/2024
43083722;45462046;202430774;10/20/2024
113289413;44700099;44700099;9/3/2024
57522880;44015188;221307203;10/28/2024
36305200;44015791;961608269;10/25/2024
8122962;44714968;873642983;10/18/2024
50838555;45458963;962732663;10/28/2024
71466762;45764834;982242973;10/23/2024
8360090;45460818;380331713;10/18/2024
113537611;44253559;44253559;9/19/2024
92949665;45460393;324030924;10/18/2024
40776875;45764802;302442708;10/23/2024
113509839;44700085;44700085;9/10/2024
73772828;45000567;271514547;10/23/2024
55554342;45461289;330330172;10/23/2024
39687023;45001799;872002324;10/25/2024
96803967;44015803;820206099;10/25/2024
72112298;45700404;273142536;10/23/2024
