
UC;ETAPA;Ligação_Tipo Fase;Início Fat-Outubro;Final Fat-Outubro;Início Fat-Novembro;Final Fat-Novembro;Início Fat-Dezembro;Final Fat-Dezembro;Início Fat-Janeiro;Final Fat-Janeiro;Início Fat-Janeiro_27;Final Fat-Janeiro_28;
112396089;1;BI;;;;;;;;;;;
104324988;1;TR;;;;;;;;;;;
94215898;1;MO;;;;;;;;;;;
107765233;1;MR;;;;;;;;;;;
106176609;1;BI;;;;;;;;;;;
105660922;1;BI;;;;;;;;;;;
107425203;1;TR;;;;;;;;;;;
109849116;1;BI;;;;;;;;;;;
8489700;1;TR;;;;;;;;;;;
92659098;1;TR;;;;;;;;;;;
106770985;1;MO;;;;;;;;;;;
80497195;1;BI;;;;;;;;;;;
97418625;1;TR;;;;;;;;;;;
51133385;1;TR;;;;;;;;;;;
86254774;1;TR;;;;;;;;;;;
88387330;1;TR;;;;;;;;;;;
99938650;1;BI;;;;;;;;;;;
82963223;1;BI;;;;;;;;;;;
78212022;1;MO;;;;;;;;;;;
98626310;1;TR;;;;;;;;;;;
8489696;1;TR;;;;;;;;;;;
81090994;1;TR;;;;;;;;;;;
81228848;1;TR;;;;;;;;;;;
83170502;1;TR;;;;;;;;;;;
81228813;1;TR;;;;;;;;;;;
78783437;1;TR;;;;;;;;;;;
30686741;1;TR;;;;;;;;;;;
105000299;1;TR;;;;;;;;;;;
75756765;1;TR;;;;;;;;;;;
105093300;1;TR;;;;;;;;;;;
102704627;1;TR;;;;;;;;;;;
104390425;1;TR;;;;;;;;;;;
90207084;1;TR;;;;;;;;;;;
103979131;1;TR;;;;;;;;;;;
95000526;1;TR;;;;;;;;;;;
99686066;1;TR;;;;;;;;;;;
104157046;1;TR;;;;;;;;;;;
107177919;1;TR;;;;;;;;;;;
103755152;1;TR;;;;;;;;;;;
108533344;1;TR;;;;;;;;;;;
108533255;1;TR;;;;;;;;;;;
107059410;1;TR;;;;;;;;;;;
102793492;1;TR;;;;;;;;;;;
100862780;1;TR;;;;;;;;;;;
109006755;1;TR;;;;;;;;;;;
107383926;1;TR;;;;;;;;;;;
111576296;1;TR;;;;;;;;;;;
8494355;1;TR;;;;;;;;;;;
110667395;1;MR;;;;;;;;;;;
102871663;1;TR;;;;;;;;;;;
100087930;1;TR;;;;;;;;;;;
8495408;1;TR;;;;;;;;;;;
94628173;1;MO;;;;;;;;;;;
63424088;1;MO;;;;;;;;;;;
100304281;1;BI;;;;;;;;;;;
69374139;1;TR;;;;;;;;;;;
40282171;1;BI;;;;;;;;;;;
94628165;1;MO;;;;;;;;;;;
43036120;1;BI;;;;;;;;;;;
60271450;1;MO;;;;;;;;;;;
95772278;1;MO;;;;;;;;;;;
93414994;1;MO;;;;;;;;;;;
95425802;1;BI;;;;;;;;;;;
8495432;1;TR;;;;;;;;;;;
28062191;1;TR;;;;;;;;;;;
53396839;1;TR;;;;;;;;;;;
8494100;1;TR;;;;;;;;;;;
80817610;1;TR;;;;;;;;;;;
107991683;1;BI;;;;;;;;;;;
49534203;1;TR;;;;;;;;;;;
90416309;1;TR;;;;;;;;;;;
111120730;1;TR;;;;;;;;;;;
103054740;1;BI;;;;;;;;;;;
86919962;1;TR;;;;;;;;;;;
98921983;1;TR;;;;;;;;;;;
54606705;1;TR;;;;;;;;;;;
44701837;1;TR;;;;;;;;;;;
101394403;1;TR;;;;;;;;;;;
71030212;1;TR;;;;;;;;;;;
101286520;1;TR;;;;;;;;;;;
101625421;1;TR;;;;;;;;;;;
86692682;1;TR;;;;;;;;;;;
40945707;1;TR;;;;;;;;;;;
107603586;1;TR;;;;;;;;;;;
74150430;1;TR;;;;;;;;;;;
65172809;1;TR;;;;;;;;;;;
111067880;1;TR;;;;;;;;;;;
109958829;1;TR;;;;;;;;;;;
53373979;1;TR;;;;;;;;;;;
92924239;1;TR;;;;;;;;;;;
95211977;1;TR;;;;;;;;;;;
46062530;1;BI;;;;;;;;;;;
110913248;1;TR;;;;;;;;;;;
101311796;1;TR;;;;;;;;;;;
103403639;1;TR;;;;;;;;;;;
108093522;1;BI;;;;;;;;;;;
36555940;1;BI;;;;;;;;;;;
109266030;1;BI;;;;;;;;;;;
41285140;1;TR;;;;;;;;;;;
8494169;1;TR;;;;;;;;;;;
41150236;1;TR;;;;;;;;;;;
103777210;1;TR;;;;;;;;;;;
8495831;1;TR;;;;;;;;;;;
8494142;1;TR;;;;;;;;;;;
109674588;1;TR;;;;;;;;;;;
108522199;1;TR;;;;;;;;;;;
88101878;1;BI;;;;;;;;;;;
91026083;1;TR;;;;;;;;;;;
84255536;1;BI;;;;;;;;;;;
8494126;1;TR;;;;;;;;;;;
99566648;1;TR;;;;;;;;;;;
99908808;1;TR;;;;;;;;;;;
102761833;1;TR;;;;;;;;;;;
101028881;1;TR;;;;;;;;;;;
108298370;1;TR;;;;;;;;;;;
108558690;1;BI;;;;;;;;;;;
105037265;1;BI;;;;;;;;;;;
99872218;1;BI;;;;;;;;;;;
97920657;1;TR;;;;;;;;;;;
105077160;1;BI;;;;;;;;;;;
99872293;1;BI;;;;;;;;;;;
99872331;1;BI;;;;;;;;;;;
105037567;1;BI;;;;;;;;;;;
99872471;1;BI;;;;;;;;;;;
99834456;1;TR;;;;;;;;;;;
8494118;1;TR;;;;;;;;;;;
72218207;1;TR;;;;;;;;;;;
80871798;1;TR;;;;;;;;;;;
87108704;1;BI;;;;;;;;;;;
92390790;1;TR;;;;;;;;;;;
102968764;1;TR;;;;;;;;;;;
109186222;1;BI;;;;;;;;;;;
8495866;1;TR;;;;;;;;;;;
53955838;1;BI;;;;;;;;;;;
112606490;1;TR;;;;;;;;;;;
100796273;1;TR;;;;;;;;;;;
46100180;1;MO;;;;;;;;;;;
51792486;1;MO;;;;;;;;;;;
50082779;1;MO;;;;;;;;;;;
22277218;1;MO;;;;;;;;;;;
110303369;1;BI;;;;;;;;;;;
78738342;1;TR;;;;;;;;;;;
70271690;1;TR;;;;;;;;;;;
94555915;1;TR;;;;;;;;;;;
85350842;1;TR;;;;;;;;;;;
106163361;1;BI;;;;;;;;;;;
106159429;1;TR;;;;;;;;;;;
89689720;1;MO;;;;;;;;;;;
8489610;1;MR;;;;;;;;;;;
51600650;1;TR;;;;;;;;;;;
52758982;1;TR;;;;;;;;;;;
110474228;1;TR;;;;;;;;;;;
87860678;1;BI;;;;;;;;;;;
80127290;1;BI;;;;;;;;;;;
85977080;1;TR;;;;;;;;;;;
58684972;1;MO;;;;;;;;;;;
90286103;1;MO;;;;;;;;;;;
90336577;1;MO;;;;;;;;;;;
90336453;1;MO;;;;;;;;;;;
90336496;1;MO;;;;;;;;;;;
53189280;1;BI;;;;;;;;;;;
77013077;1;BI;;;;;;;;;;;
91795397;1;BI;;;;;;;;;;;
8489602;1;TR;;;;;;;;;;;
100438075;1;BI;;;;;;;;;;;
103464352;1;TR;;;;;;;;;;;
96464674;1;MR;;;;;;;;;;;
67697062;1;MR;;;;;;;;;;;
54902355;1;TR;;;;;;;;;;;
55185550;1;MR;;;;;;;;;;;
80112153;1;MR;;;;;;;;;;;
86438581;1;TR;;;;;;;;;;;
43721028;1;TR;;;;;;;;;;;
85009679;1;TR;;;;;;;;;;;
78234042;1;MR;;;;;;;;;;;
8494517;1;TR;;;;;;;;;;;
109837231;1;BI;;;;;;;;;;;
8494525;1;TR;;;;;;;;;;;
22532080;1;TR;;;;;;;;;;;
112600883;1;BI;;;;;;;;;;;
55835830;1;BI;;;;;;;;;;;
61426750;1;BI;;;;;;;;;;;
87200880;1;TR;;;;;;;;;;;
85899364;1;MO;;;;;;;;;;;
92273971;1;MO;;;;;;;;;;;
94160040;1;MO;;;;;;;;;;;
85899380;1;MO;;;;;;;;;;;
85859648;1;MO;;;;;;;;;;;
92096204;1;TR;;;;;;;;;;;
82240817;1;TR;;;;;;;;;;;
110320344;1;TR;;;;;;;;;;;
112605710;1;BI;;;;;;;;;;;
52636658;1;MR;;;;;;;;;;;
58534105;1;MR;;;;;;;;;;;
101476000;1;TR;;;;;;;;;;;
47268140;1;BI;;;;;;;;;;;
112016553;1;BI;;;;;;;;;;;
68882610;1;TR;;;;;;;;;;;
96368497;1;TR;;;;;;;;;;;
8494789;1;MR;;;;;;;;;;;
98864858;1;TR;;;;;;;;;;;
100910769;1;TR;;;;;;;;;;;
88205711;1;TR;;;;;;;;;;;
104284870;1;TR;;;;;;;;;;;
68882629;1;TR;;;;;;;;;;;
109616057;1;MR;;;;;;;;;;;
99223791;1;BI;;;;;;;;;;;
99360420;1;TR;;;;;;;;;;;
49161822;1;TR;;;;;;;;;;;
49285610;1;MR;;;;;;;;;;;
72182938;1;TR;;;;;;;;;;;
106714481;1;MO;;;;;;;;;;;
44794436;1;TR;;;;;;;;;;;
44793855;1;TR;;;;;;;;;;;
44793910;1;TR;;;;;;;;;;;
44793928;1;TR;;;;;;;;;;;
44793952;1;TR;;;;;;;;;;;
44793960;1;TR;;;;;;;;;;;
44794029;1;TR;;;;;;;;;;;
44794045;1;TR;;;;;;;;;;;
44794118;1;TR;;;;;;;;;;;
44794142;1;TR;;;;;;;;;;;
45721343;1;TR;;;;;;;;;;;
91626730;1;TR;;;;;;;;;;;
101586892;1;TR;;;;;;;;;;;
102617767;1;BI;;;;;;;;;;;
102564744;1;TR;;;;;;;;;;;
102617902;1;BI;;;;;;;;;;;
102617643;1;TR;;;;;;;;;;;
102845549;1;TR;;;;;;;;;;;
91486688;1;TR;;;;;;;;;;;
95142894;1;TR;;;;;;;;;;;
103135022;1;TR;;;;;;;;;;;
105302503;1;TR;;;;;;;;;;;
94299072;1;MR;;;;;;;;;;;
96351012;1;BI;;;;;;;;;;;
104309920;1;BI;;;;;;;;;;;
94608946;1;TR;;;;;;;;;;;
95391835;1;TR;;;;;;;;;;;
107690250;1;TR;;;;;;;;;;;
109922700;1;TR;;;;;;;;;;;
101194471;1;TR;;;;;;;;;;;
107189186;1;TR;;;;;;;;;;;
94594015;1;TR;;;;;;;;;;;
100831443;1;TR;;;;;;;;;;;
95312510;1;TR;;;;;;;;;;;
95540962;1;TR;;;;;;;;;;;
107538857;1;TR;;;;;;;;;;;
97743356;1;TR;;;;;;;;;;;
96836741;1;TR;;;;;;;;;;;
111564573;1;TR;;;;;;;;;;;
95881573;1;MR;;;;;;;;;;;
109090721;1;MR;;;;;;;;;;;
85825468;1;MR;;;;;;;;;;;
111641721;1;TR;;;;;;;;;;;
83771670;1;MR;;;;;;;;;;;
69812861;1;MR;;;;;;;;;;;
83772006;1;MR;;;;;;;;;;;
93278306;1;MO;;;;;;;;;;;
93277407;1;MO;;;;;;;;;;;
92456898;1;MO;;;;;;;;;;;
104959738;1;TR;;;;;;;;;;;
109938470;1;TR;;;;;;;;;;;
8494770;1;MR;;;;;;;;;;;
103874674;1;MR;;;;;;;;;;;
110440218;1;MR;;;;;;;;;;;
76239004;1;MR;;;;;;;;;;;
80733077;1;MR;;;;;;;;;;;
42654742;1;MR;;;;;;;;;;;
68324707;1;MR;;;;;;;;;;;
8494762;1;MR;;;;;;;;;;;
108049787;1;MR;;;;;;;;;;;
8494657;1;TR;;;;;;;;;;;
49319779;1;TR;;;;;;;;;;;
38624273;1;TR;;;;;;;;;;;
38624338;1;TR;;;;;;;;;;;
111066042;1;BI;;;;;;;;;;;
62593560;1;TR;;;;;;;;;;;
112227910;1;BI;;;;;;;;;;;
60853417;1;BI;;;;;;;;;;;
8494665;1;TR;;;;;;;;;;;
79203604;1;TR;;;;;;;;;;;
78237467;1;TR;;;;;;;;;;;
69244014;1;MR;;;;;;;;;;;
47480157;1;MR;;;;;;;;;;;
62925024;1;MR;;;;;;;;;;;
8494614;1;MR;;;;;;;;;;;
108008606;1;TR;;;;;;;;;;;
62654594;1;MR;;;;;;;;;;;
49843125;1;MR;;;;;;;;;;;
98475258;1;MR;;;;;;;;;;;
91592550;1;MR;;;;;;;;;;;
108497585;1;MR;;;;;;;;;;;
103045660;1;MR;;;;;;;;;;;
81106556;1;MR;;;;;;;;;;;
95521712;1;BI;;;;;;;;;;;
95589686;1;MR;;;;;;;;;;;
93062591;1;MR;;;;;;;;;;;
92803377;1;MR;;;;;;;;;;;
111172551;1;MR;;;;;;;;;;;
85404985;1;MR;;;;;;;;;;;
90510526;1;MR;;;;;;;;;;;
90510550;1;MR;;;;;;;;;;;
93446713;1;MR;;;;;;;;;;;
93446829;1;MR;;;;;;;;;;;
90168682;1;MR;;;;;;;;;;;
89417070;1;MR;;;;;;;;;;;
102574162;1;MR;;;;;;;;;;;
98127560;1;MR;;;;;;;;;;;
94330441;1;MR;;;;;;;;;;;
108001202;1;MR;;;;;;;;;;;
87482207;1;MR;;;;;;;;;;;
89673271;1;MR;;;;;;;;;;;
98368796;1;MR;;;;;;;;;;;
91560950;1;MR;;;;;;;;;;;
91835240;1;MR;;;;;;;;;;;
101775806;1;MR;;;;;;;;;;;
101775695;1;MR;;;;;;;;;;;
96980362;1;MR;;;;;;;;;;;
25687530;1;BI;;;;;;;;;;;
99447576;1;MR;;;;;;;;;;;
97027138;1;MR;;;;;;;;;;;
88302059;1;MO;;;;;;;;;;;
89847717;1;MR;;;;;;;;;;;
96125292;1;MO;;;;;;;;;;;
79664563;1;MR;;;;;;;;;;;
79951422;1;MO;;;;;;;;;;;
78343941;1;MO;;;;;;;;;;;
79996159;1;MO;;;;;;;;;;;
91241448;1;MO;;;;;;;;;;;
99970139;1;MO;;;;;;;;;;;
85823970;1;MO;;;;;;;;;;;
77976304;1;MR;;;;;;;;;;;
95701745;1;MO;;;;;;;;;;;
112601049;1;MR;;;;;;;;;;;
98764624;1;MO;;;;;;;;;;;
103073671;1;BI;;;;;;;;;;;
102839514;1;MO;;;;;;;;;;;
101871597;1;MO;;;;;;;;;;;
69829233;1;MR;;;;;;;;;;;
25295225;1;MO;;;;;;;;;;;
68462964;1;MO;;;;;;;;;;;
82155542;1;MO;;;;;;;;;;;
25295217;1;MR;;;;;;;;;;;
25295209;1;MR;;;;;;;;;;;
112600999;1;MR;;;;;;;;;;;
8494509;1;TR;;;;;;;;;;;
93406711;1;MR;;;;;;;;;;;
47611960;1;TR;;;;;;;;;;;
45342210;1;TR;;;;;;;;;;;
93181523;1;BI;;;;;;;;;;;
108552764;1;TR;;;;;;;;;;;
110164652;1;BI;;;;;;;;;;;
111108691;1;BI;;;;;;;;;;;
108454789;1;BI;;;;;;;;;;;
110204573;1;BI;;;;;;;;;;;
100799884;1;MO;;;;;;;;;;;
101211708;1;MO;;;;;;;;;;;
95184031;1;MO;;;;;;;;;;;
95183973;1;MO;;;;;;;;;;;
87807050;1;MO;;;;;;;;;;;
27230937;1;MO;;;;;;;;;;;
93438630;1;MO;;;;;;;;;;;
81182678;1;MO;;;;;;;;;;;
99233061;1;MO;;;;;;;;;;;
98234706;1;BI;;;;;;;;;;;
111796300;1;TR;;;;;;;;;;;
100111122;1;BI;;;;;;;;;;;
107911914;1;BI;;;;;;;;;;;
110173503;1;BI;;;;;;;;;;;
109978374;1;MO;;;;;;;;;;;
107627531;1;BI;;;;;;;;;;;
108089665;1;BI;;;;;;;;;;;
102907854;1;TR;;;;;;;;;;;
111869870;1;BI;;;;;;;;;;;
98391399;1;MO;;;;;;;;;;;
94006040;1;MO;;;;;;;;;;;
94006105;1;MO;;;;;;;;;;;
8481865;1;MO;;;;;;;;;;;
8481873;1;MO;;;;;;;;;;;
79048188;1;TR;;;;;;;;;;;
89454162;1;BI;;;;;;;;;;;
31507166;1;BI;;;;;;;;;;;
86307274;1;MO;;;;;;;;;;;
100822142;1;MO;;;;;;;;;;;
93376910;1;MO;;;;;;;;;;;
101116136;1;MO;;;;;;;;;;;
93468245;1;MO;;;;;;;;;;;
101116217;1;MO;;;;;;;;;;;
105900494;1;BI;;;;;;;;;;;
61479713;1;BI;;;;;;;;;;;
103030980;1;BI;;;;;;;;;;;
92895050;1;MO;;;;;;;;;;;
8482896;1;BI;;;;;;;;;;;
22800840;1;MO;;;;;;;;;;;
27983730;1;MO;;;;;;;;;;;
53799860;1;BI;;;;;;;;;;;
37423541;1;MO;;;;;;;;;;;
80716156;1;MO;;;;;;;;;;;
