
UC;NEW_NIO;OLD_NIO;DATA
92703801;44710245;411479806;10/15/24
83107649;45458877;214033918;10/15/24
87316439;44715191;291541933;10/15/24
79233600;45458884;233131917;10/15/24
50319094;44710247;244340099;10/15/24
97607240;45458156;312130915;10/15/24
97607312;45458155;312130913;10/15/24
34756663;45458164;312130916;10/15/24
100601065;45458168;353630467;10/15/24
86261860;45458166;291432113;10/15/24
86443720;45458161;400230215;10/15/24
98707922;44714797;341641811;10/15/24
100228780;44715074;351344209;10/15/24
100646999;44715075;333940130;10/15/24
105061590;44715371;390872782;10/15/24
91891353;44715259;390872909;10/15/24
102628149;44715257;370372776;10/15/24
103306080;44715261;380152928;10/15/24
61709492;45460473;402572672;10/15/24
8305595;44708581;804841064;10/15/24
81015445;45460416;202831773;10/15/24
8305145;45255643;273333157;10/15/24
79651135;44708580;401042943;10/15/24
97417548;45255640;400231239;10/15/24
86820893;45458488;302131065;10/15/24
87162237;45458493;371732358;10/15/24
89134630;45456593;410878895;10/15/24
84918209;45456586;294732780;10/15/24
99476169;44714736;312641345;10/15/24
99145782;44714734;271744103;10/15/24
97505765;44714739;312640296;10/15/24
92382908;45257372;393331645;10/15/24
99393875;45257376;393331641;10/15/24
98854810;45257374;312930408;10/15/24
98335073;45257379;981831035;10/15/24
91849179;45257371;312930387;10/15/24
91603048;45257375;312932693;10/15/24
99512505;45257370;393331580;10/15/24
92574335;45257373;341330349;10/15/24
98925687;45257378;391634385;10/15/24
99008343;45257377;332334376;10/15/24
91729157;45257314;312932585;10/15/24
91533198;45257311;312932626;10/15/24
99210851;45257313;393331573;10/15/24
91533236;45257316;312932539;10/15/24
99613905;45257318;312930403;10/15/24
8378932;45457586;961630415;10/15/24
81911076;45457587;940830891;10/15/24
74970917;45457569;904830867;10/15/24
94605149;44714744;333140931;10/15/24
39023737;44715209;982341397;10/15/24
62961705;44715022;410779423;10/15/24
43660460;44714659;421480121;10/15/24
8208190;44714660;323340590;10/15/24
84361344;44571814;401369687;10/15/24
109501128;44714658;401373315;10/15/24
55186548;44714661;413779620;10/15/24
59811510;45460524;310833964;10/15/24
97316113;45460518;882831304;10/15/24
99318989;45460516;292832622;10/15/24
96445815;45460426;311332495;10/15/24
91359309;45460434;312131042;10/15/24
95135812;45460428;311332010;10/15/24
95135863;45460429;311332008;10/15/24
66466407;45460489;360131376;10/15/24
79071317;45460504;274731336;10/15/24
8128804;45460497;361734150;10/15/24
93612435;45461411;330331351;10/15/24
92981240;45461387;324330393;10/15/24
100487815;45461410;353231188;10/15/24
93168390;45457036;330331281;10/15/24
93813236;45461392;331131930;10/15/24
92360181;45257349;324030022;10/15/24
94609284;45461391;330734576;10/15/24
106206923;44715357;390344069;10/15/24
110909283;45461407;421277235;10/15/24
110987250;45461408;421276839;10/15/24
111244943;45461405;421978505;10/15/24
111939631;45461385;343133420;10/15/24
111086825;45457044;421876356;10/15/24
112802087;45257347;423176640;10/15/24
112924654;45459615;423176661;10/15/24
53776739;45461393;431376131;10/15/24
110412931;45461412;431278228;10/15/24
20824890;45461389;423177222;10/15/24
112857108;45461406;423176497;10/15/24
39746380;45461390;430877873;10/15/24
8332223;45461413;431376168;10/15/24
78521807;45461394;290631390;10/15/24
69034451;45458788;912833053;10/15/24
87671603;45458794;301730007;10/15/24
90446836;45458787;414476647;10/15/24
86361708;45458114;252230192;10/15/24
90467876;45458792;421876929;10/15/24
105545422;44715069;390872789;10/15/24
99582953;45257326;294330018;10/15/24
76983030;45458113;353130683;10/15/24
74423045;45257320;224130879;10/15/24
8147248;44710365;314443290;10/15/24
94096031;44710336;421979125;10/15/24
107793911;44714624;390543124;10/15/24
106620339;44710335;400144129;10/15/24
111873363;44714913;430280996;10/15/24
101487606;44714893;342641552;10/15/24
104755962;45460116;380832351;10/15/24
101872321;45460118;361830024;10/15/24
101420196;45460123;362433902;10/15/24
82105618;44709376;203142211;10/15/24
56354096;44709374;203142501;10/15/24
58117784;44707655;204042952;10/15/24
85564745;45458716;313334075;10/15/24
61528641;44715381;371642733;10/15/24
36659169;45458720;972032200;10/15/24
63984040;45458633;331933378;10/15/24
28370139;45458719;413377813;10/15/24
86842706;45257408;393331599;10/15/24
8441375;45257400;331932904;10/15/24
55498841;45257403;331134129;10/15/24
